iter	MSLE	MAE
0	0.07955309898	2.205019454
1	0.07703663665	2.170036253
2	0.07474794174	2.136482393
3	0.07253491925	2.103505866
4	0.0706192089	2.073470309
5	0.06920423536	2.051951666
6	0.06722460324	2.021582187
7	0.0658705918	1.999370717
8	0.06437694772	1.974863435
9	0.06273649953	1.9485381
10	0.0616792104	1.930421855
11	0.06036958835	1.90796638
12	0.05894090163	1.882914688
13	0.05801047523	1.865726507
14	0.05683367517	1.843978598
15	0.05568915018	1.82318688
16	0.05457006662	1.802175936
17	0.05358562589	1.784745262
18	0.05270619648	1.767079142
19	0.05200928526	1.753620275
20	0.05096698808	1.735018216
21	0.05037334505	1.723402892
22	0.04939650512	1.706492075
23	0.0486586236	1.693148891
24	0.04798832429	1.682243281
25	0.04709661307	1.66797776
26	0.04624231232	1.655169162
27	0.04539106472	1.641993156
28	0.04454993171	1.628973658
29	0.04379711695	1.616911951
30	0.04306793061	1.605197998
31	0.04240652203	1.594323811
32	0.0417674201	1.583391611
33	0.04112174611	1.572678024
34	0.04055434031	1.562689074
35	0.03999672134	1.553258907
36	0.03944006087	1.54344705
37	0.03895846824	1.534667927
38	0.03846224253	1.525826321
39	0.03808430362	1.519312639
40	0.03775633524	1.513687194
41	0.03734628794	1.506184254
42	0.03694621687	1.499231854
43	0.03654397989	1.492884696
44	0.03615910218	1.48590904
45	0.03579731215	1.479598325
46	0.03545987998	1.474474471
47	0.03506939354	1.468213464
48	0.03469072951	1.462294661
49	0.03437549164	1.457246205
50	0.03404588788	1.451111359
51	0.03375582772	1.446453485
52	0.03346462548	1.440799875
53	0.03318793213	1.435334003
54	0.03290361869	1.430377171
55	0.03266403296	1.425449457
56	0.03239085712	1.420522106
57	0.03215467533	1.416355008
58	0.03196527717	1.412668734
59	0.03176220008	1.408557196
60	0.03154130625	1.404705003
61	0.03135534986	1.401475287
62	0.03116168362	1.39797991
63	0.03092767306	1.393597577
64	0.03070818285	1.38958044
65	0.03053583219	1.386375942
66	0.03034663421	1.382994552
67	0.03020531233	1.380464723
68	0.03006126959	1.377786784
69	0.02992658572	1.375386722
70	0.02980180861	1.373135466
71	0.02965133229	1.370387022
72	0.02951619414	1.367634856
73	0.02937795996	1.365233389
74	0.02924234738	1.363129694
75	0.02911237645	1.360914479
76	0.02899489217	1.358653102
77	0.028897855	1.356910105
78	0.02877277846	1.354380412
79	0.02866397891	1.352506973
80	0.02854999428	1.350549747
81	0.02844310454	1.348388535
82	0.02833314228	1.346479468
83	0.02825751426	1.34515556
84	0.0281733998	1.343543179
85	0.02810675322	1.342335927
86	0.02801818194	1.340579474
87	0.02791536376	1.338439514
88	0.02784419102	1.337069839
89	0.02777269374	1.335738865
90	0.02768584115	1.334187653
91	0.02756520557	1.33202515
92	0.02745675636	1.330024863
93	0.02735229484	1.328166576
94	0.0272913138	1.326972803
95	0.02722238512	1.325454133
96	0.02716556221	1.324307419
97	0.02708976605	1.322849421
98	0.027011766	1.321302534
99	0.02695130314	1.320033625
100	0.02689338848	1.318715916
101	0.02681009371	1.317183308
102	0.0267445762	1.315860963
103	0.02669978104	1.314813146
104	0.02663762275	1.31352707
105	0.02659431962	1.312712785
106	0.02655075006	1.311701958
107	0.02650196279	1.310701249
108	0.02644766034	1.309596266
109	0.02640670402	1.308861843
110	0.02635554531	1.307616996
111	0.02632059248	1.306960597
112	0.02627217581	1.306075497
113	0.02622021028	1.305148871
114	0.02616838835	1.30404416
115	0.02612555557	1.303219345
116	0.02608839192	1.302552723
117	0.02604502862	1.301644898
118	0.02600715448	1.300826235
119	0.02597073777	1.300053539
120	0.02593940323	1.299445595
121	0.02590157008	1.298674548
122	0.0258711645	1.298130707
123	0.02584119759	1.297400258
124	0.02581028678	1.296791879
